account_id,party_id,product_type,open_date,close_date,status,updated_at
A000000,P000806,CREDIT_CARD,2016-07-23,,OPEN,2026-01-15T00:00:00
A000001,P000723,HOME_LOAN,2016-09-23,,OPEN,2026-01-15T00:00:00
A000002,P001701,SAVINGS,2025-03-29,,OPEN,2026-01-15T00:00:00
A000003,P000038,TRANSACTION,2018-02-11,,DORMANT,2026-01-15T00:00:00
A000004,P000825,CREDIT_CARD,2025-04-25,2027-11-12,CLOSED,2026-01-15T00:00:00
A000005,P000676,HOME_LOAN,2024-11-01,,OPEN,2026-01-15T00:00:00
A000006,P001628,TRANSACTION,2025-09-05,,OPEN,2026-01-15T00:00:00
A000007,P000994,CREDIT_CARD,2025-05-23,,OPEN,2026-01-15T00:00:00
A000008,P000076,TRANSACTION,2024-07-25,,DORMANT,2026-01-15T00:00:00
A000009,P001199,SAVINGS,2017-07-24,,OPEN,2026-01-15T00:00:00
A000010,P001130,TRANSACTION,2019-11-11,,OPEN,2026-01-15T00:00:00
A000011,P001550,TERM_DEPOSIT,2016-10-04,,OPEN,2026-01-15T00:00:00
A000012,P000510,TRANSACTION,2019-07-10,,DORMANT,2026-01-15T09:00:00
A000013,P000086,TERM_DEPOSIT,2022-05-29,,OPEN,2026-01-15T00:00:00
A000014,P000077,HOME_LOAN,2019-02-11,,OPEN,2026-01-15T00:00:00
A000015,P001224,CREDIT_CARD,2022-08-15,,OPEN,2026-01-15T00:00:00
A000016,P001083,CREDIT_CARD,2021-07-13,,OPEN,2026-01-15T00:00:00
A000017,P000133,SAVINGS,2018-10-18,,OPEN,2026-01-15T00:00:00
A000018,P001403,TRANSACTION,2020-10-06,,OPEN,2026-01-15T09:00:00
A000019,P001234,HOME_LOAN,2016-11-01,,OPEN,2026-01-15T00:00:00
A000020,P000841,CREDIT_CARD,2017-07-20,,OPEN,2026-01-15T00:00:00
A000021,P000993,TERM_DEPOSIT,2024-11-04,,OPEN,2026-01-15T00:00:00
A000022,P001169,TERM_DEPOSIT,2025-05-29,,OPEN,2026-02-15T09:00:00
A000023,P000356,TERM_DEPOSIT,2023-03-06,,OPEN,2026-01-15T00:00:00
A000024,P001509,HOME_LOAN,2021-01-22,,OPEN,2026-01-15T00:00:00
A000025,P000592,HOME_LOAN,2018-06-13,,OPEN,2026-01-15T00:00:00
A000026,P001250,CREDIT_CARD,2019-08-02,,DORMANT,2026-01-15T00:00:00
A000027,P001457,TERM_DEPOSIT,2016-11-28,,OPEN,2026-01-15T00:00:00
A000028,P001736,SAVINGS,2024-02-09,,DORMANT,2026-01-15T00:00:00
A000029,P000104,HOME_LOAN,2025-08-31,,OPEN,2026-01-15T00:00:00
A000030,P001107,SAVINGS,2020-10-16,2026-01-15,CLOSED,2026-01-15T09:00:00
A000031,P000112,SAVINGS,2024-10-10,,OPEN,2026-01-15T00:00:00
A000032,P000056,TERM_DEPOSIT,2018-07-20,,OPEN,2026-01-15T00:00:00
A000033,P001847,HOME_LOAN,2024-11-22,,DORMANT,2026-01-15T00:00:00
A000034,P000756,HOME_LOAN,2016-12-30,,OPEN,2026-01-15T00:00:00
A000035,P001033,HOME_LOAN,2019-07-20,,OPEN,2026-01-15T00:00:00
A000036,P001837,TRANSACTION,2020-12-05,,DORMANT,2026-01-15T00:00:00
A000037,P001971,TRANSACTION,2025-01-08,2029-04-13,CLOSED,2026-01-15T00:00:00
A000038,P001281,HOME_LOAN,2016-07-31,,OPEN,2026-01-15T00:00:00
A000039,P001040,TRANSACTION,2022-09-17,,DORMANT,2026-01-15T00:00:00
A000040,P000144,HOME_LOAN,2016-10-25,,OPEN,2026-01-15T09:00:00
A000041,P000622,HOME_LOAN,2021-06-26,,DORMANT,2026-01-15T00:00:00
A000042,P000246,CREDIT_CARD,2024-05-29,,OPEN,2026-01-15T00:00:00
A000043,P001068,HOME_LOAN,2016-02-02,,DORMANT,2026-01-15T00:00:00
A000044,P001169,CREDIT_CARD,2017-09-09,,DORMANT,2026-01-15T00:00:00
A000045,P001909,TRANSACTION,2020-04-10,,OPEN,2026-01-15T00:00:00
A000046,P001662,TRANSACTION,2019-11-30,,OPEN,2026-01-15T00:00:00
A000047,P000857,CREDIT_CARD,2023-01-19,,OPEN,2026-01-15T00:00:00
A000048,P000191,SAVINGS,2022-05-15,,OPEN,2026-01-15T00:00:00
A000049,P001153,TRANSACTION,2016-07-07,,OPEN,2026-01-15T00:00:00
A000050,P000187,TRANSACTION,2022-08-08,,OPEN,2026-01-15T00:00:00
A000051,P001023,HOME_LOAN,2024-03-10,,OPEN,2026-01-15T00:00:00
A000052,P001228,CREDIT_CARD,2022-12-05,,OPEN,2026-01-15T09:00:00
A000053,P000308,CREDIT_CARD,2019-09-07,,DORMANT,2026-01-15T00:00:00
A000054,P001184,CREDIT_CARD,2017-10-25,,OPEN,2026-01-15T00:00:00
A000055,P000547,TRANSACTION,2018-07-04,,OPEN,2026-01-15T00:00:00
A000056,P001461,TRANSACTION,2019-05-11,,OPEN,2026-01-15T00:00:00
A000057,P000181,HOME_LOAN,2023-01-22,,DORMANT,2026-01-15T00:00:00
A000058,P000874,TRANSACTION,2021-03-18,,OPEN,2026-01-15T00:00:00
A000059,P001315,SAVINGS,2020-06-01,,DORMANT,2026-02-15T09:00:00
A000060,P001380,HOME_LOAN,2023-12-22,,OPEN,2026-01-15T00:00:00
A000061,P001480,CREDIT_CARD,2019-09-13,,OPEN,2026-01-15T00:00:00
A000062,P001906,CREDIT_CARD,2021-12-27,,OPEN,2026-01-15T00:00:00
A000063,P001648,CREDIT_CARD,2019-06-12,,OPEN,2026-01-15T00:00:00
A000064,P000092,HOME_LOAN,2023-12-03,,OPEN,2026-01-15T00:00:00
A000065,P000579,HOME_LOAN,2021-03-25,,OPEN,2026-01-15T00:00:00
A000066,P000509,TERM_DEPOSIT,2021-09-27,,OPEN,2026-01-15T00:00:00
A000067,P000544,CREDIT_CARD,2019-02-06,,OPEN,2026-01-15T00:00:00
A000068,P000132,CREDIT_CARD,2020-03-22,,OPEN,2026-01-15T00:00:00
A000069,P000692,TRANSACTION,2025-10-30,,OPEN,2026-01-15T00:00:00
A000070,P001911,TERM_DEPOSIT,2021-08-19,,OPEN,2026-01-15T00:00:00
A000071,P001690,CREDIT_CARD,2019-06-16,,OPEN,2026-01-15T00:00:00
A000072,P000256,TRANSACTION,2022-11-15,,DORMANT,2026-01-15T09:00:00
A000073,P001966,SAVINGS,2020-04-28,2021-12-23,DORMANT,2026-01-15T09:00:00
A000074,P001426,HOME_LOAN,2019-12-19,,OPEN,2026-01-15T00:00:00
A000075,P001802,CREDIT_CARD,2023-05-28,,OPEN,2026-01-15T00:00:00
A000076,P000809,CREDIT_CARD,2024-06-01,2025-06-05,CLOSED,2026-01-15T00:00:00
A000077,P001232,HOME_LOAN,2017-07-08,,OPEN,2026-01-15T00:00:00
A000078,P001276,TRANSACTION,2025-03-12,,OPEN,2026-01-15T00:00:00
A000079,P000439,TRANSACTION,2024-12-16,,OPEN,2026-01-15T00:00:00
A000080,P001484,SAVINGS,2019-05-20,,DORMANT,2026-01-15T00:00:00
A000081,P001228,SAVINGS,2021-12-12,,OPEN,2026-01-15T00:00:00
A000082,P001463,CREDIT_CARD,2016-10-03,,DORMANT,2026-01-15T00:00:00
A000083,P000973,CREDIT_CARD,2024-09-30,,OPEN,2026-01-15T00:00:00
A000084,P000509,TRANSACTION,2025-12-15,,OPEN,2026-01-15T00:00:00
A000085,P001046,TRANSACTION,2023-02-08,,OPEN,2026-01-15T00:00:00
A000086,P001699,TRANSACTION,2021-06-20,2026-01-15,CLOSED,2026-01-15T09:00:00
A000087,P001958,TERM_DEPOSIT,2024-02-07,,OPEN,2026-01-15T00:00:00
A000088,P000296,TERM_DEPOSIT,2017-07-18,,OPEN,2026-01-15T00:00:00
A000089,P000878,TERM_DEPOSIT,2024-07-24,,OPEN,2026-01-15T09:00:00
A000090,P000395,TERM_DEPOSIT,2018-09-01,,OPEN,2026-01-15T00:00:00
A000091,P001161,CREDIT_CARD,2022-11-22,,OPEN,2026-01-15T00:00:00
A000092,P000962,CREDIT_CARD,2021-06-14,,DORMANT,2026-01-15T00:00:00
A000093,P001056,SAVINGS,2017-07-30,,DORMANT,2026-02-15T09:00:00
A000094,P001102,HOME_LOAN,2018-02-09,,DORMANT,2026-02-15T09:00:00
A000095,P000085,HOME_LOAN,2017-07-07,,OPEN,2026-01-15T00:00:00
A000096,P001493,TRANSACTION,2019-11-22,2024-11-29,CLOSED,2026-01-15T00:00:00
A000097,P001128,SAVINGS,2021-06-19,,OPEN,2026-01-15T00:00:00
A000098,P000906,TERM_DEPOSIT,2024-11-15,,OPEN,2026-01-15T00:00:00
A000099,P000214,SAVINGS,2021-04-27,,OPEN,2026-01-15T00:00:00
A000100,P000378,CREDIT_CARD,2016-07-17,,OPEN,2026-01-15T00:00:00
A000101,P000542,HOME_LOAN,2018-12-07,,OPEN,2026-01-15T00:00:00
A000102,P001102,HOME_LOAN,2021-03-23,,OPEN,2026-01-15T00:00:00
A000103,P001431,HOME_LOAN,2016-12-07,,DORMANT,2026-01-15T00:00:00
A000104,P001125,CREDIT_CARD,2021-07-09,2026-01-15,CLOSED,2026-01-15T09:00:00
A000105,P000780,HOME_LOAN,2022-06-19,,DORMANT,2026-01-15T00:00:00
A000106,P001775,TRANSACTION,2022-06-16,,OPEN,2026-01-15T00:00:00
A000107,P000534,TERM_DEPOSIT,2022-04-16,,OPEN,2026-01-15T00:00:00
A000108,P000226,TRANSACTION,2016-12-12,,DORMANT,2026-02-15T09:00:00
A000109,P001226,SAVINGS,2019-01-29,,OPEN,2026-01-15T00:00:00
A000110,P001599,CREDIT_CARD,2025-04-21,,DORMANT,2026-01-15T00:00:00
A000111,P001902,CREDIT_CARD,2021-11-28,,OPEN,2026-01-15T09:00:00
A000112,P000232,TRANSACTION,2018-03-03,,OPEN,2026-01-15T00:00:00
A000113,P001398,TRANSACTION,2020-08-21,,OPEN,2026-01-15T09:00:00
A000114,P001101,HOME_LOAN,2023-05-31,,DORMANT,2026-01-15T00:00:00
A000115,P000862,TERM_DEPOSIT,2016-11-26,,OPEN,2026-01-15T00:00:00
A000116,P001452,SAVINGS,2023-03-04,,OPEN,2026-01-15T00:00:00
A000117,P000532,TERM_DEPOSIT,2024-11-02,,OPEN,2026-01-15T00:00:00
A000118,P000776,CREDIT_CARD,2021-10-13,,OPEN,2026-01-15T00:00:00
